City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Leningradskiy,0,RU,1551311992,82,69.38,178.42,18.82,15.26
Kodinsk,88,RU,1551311993,89,58.6,99.18,26.52,4.97
Longyearbyen,75,NO,1551307800,71,78.22,15.63,3.2,10.29
Temerloh,8,MY,1551311872,81,3.45,102.42,75.75,2.28
Ahuimanu,90,US,1551311782,65,21.44,-157.84,75.2,13.87
Hirado,75,JP,1551311754,93,33.32,129.49,50.0,10.29
Ligayan,0,PH,1551311993,100,4.65,119.47,80.07,8.99
Port Lincoln,12,AU,1551311994,89,-34.72,135.86,71.97,6.98
Mogadishu,80,SO,1551311817,100,2.04,45.34,79.53,15.26
Arman,48,RU,1551311994,55,59.7,150.17,2.13,5.75
Banyo,48,CM,1551311994,84,6.75,11.81,62.97,1.72
Hilo,90,US,1551311834,64,19.71,-155.08,72.0,10.29
Asbury Park,1,US,1551311981,82,33.46,-86.74,71.6,0.83
Hobart,0,AU,1551311895,59,-42.88,147.33,64.99,6.93
Roald,92,NO,1551311703,86,62.58,6.12,39.99,9.17
Salalah,20,OM,1551307800,69,17.01,54.1,75.2,4.7
San Patricio,36,PY,1551311996,54,-26.98,-56.83,71.25,5.41
Dingle,0,PH,1551311996,71,11.0,122.67,76.65,11.45
Avarua,8,CK,1551310200,70,-21.21,-159.78,84.2,11.41
Parkent,0,UZ,1551310200,59,41.29,69.68,37.4,6.93
Puerto Ayora,20,EC,1551308400,70,-0.74,-90.35,86.0,8.05
Cuenca,0,ES,1551311979,72,40.07,-2.13,31.24,2.73
East London,8,ZA,1551311997,100,-33.02,27.91,69.09,13.91
Eselnita,0,RO,1551311997,81,44.7,22.36,21.25,2.62
Masvingo,8,ZW,1551311998,86,-20.08,30.83,62.61,3.29
Deputatskiy,64,RU,1551311998,66,69.3,139.9,-24.11,2.95
Kieta,48,PG,1551311998,96,-6.22,155.63,82.45,2.39
Tartagal,90,AR,1551308400,94,-22.52,-63.8,68.0,9.44
Chkalovsk,40,RU,1551310200,85,56.76,43.24,19.4,8.95
Provideniya,88,RU,1551311999,94,64.42,-173.23,32.5,30.13
Vaini,0,IN,1551311999,78,15.34,74.49,53.65,2.39
Mokama,76,IN,1551312000,96,25.4,85.92,60.27,7.09
Beloha,12,MG,1551312000,90,-25.17,45.06,71.16,1.95
Comodoro Rivadavia,0,AR,1551308400,42,-45.87,-67.48,66.2,4.7
Buala,0,SB,1551312000,71,-8.15,159.59,87.72,8.21
Bambous Virieux,75,MU,1551311941,83,-20.34,57.76,80.6,4.7
Jiangyou,92,CN,1551312069,92,31.78,104.73,40.11,3.18
Ziro,92,IN,1551312069,99,27.54,93.82,42.72,1.16
Nyurba,76,RU,1551312072,76,63.29,118.35,14.37,5.86
Doha,75,QA,1551310260,68,25.29,51.53,71.6,8.05
Bolgatanga,12,GH,1551312073,25,10.79,-0.85,71.47,7.87
Qaanaaq,0,GL,1551312073,86,77.48,-69.36,-20.29,2.95
Alnavar,0,IN,1551312073,79,15.43,74.74,54.87,3.18
Katobu,88,ID,1551312073,100,-4.94,122.53,80.79,4.63
Nanortalik,48,GL,1551312074,91,60.14,-45.24,34.89,52.28
Upernavik,0,GL,1551312074,100,72.79,-56.15,5.19,22.3
Laguna,90,MX,1551307260,21,27.52,-110.01,78.8,3.36
Esperance,20,TT,1551312054,88,10.24,-61.45,77.0,5.82
Eyl,20,SO,1551312075,100,7.98,49.82,70.12,3.96
Lebu,0,ET,1551308400,36,8.96,38.73,60.8,6.93
Khatanga,48,RU,1551312075,65,71.98,102.47,-9.08,8.88
Lagos,20,NG,1551308400,94,6.46,3.39,80.6,6.2
Saint George,40,GR,1551307800,75,39.45,22.34,41.0,3.74
Pisco,0,PE,1551308400,30,-13.71,-76.2,71.6,20.8
Okhotsk,64,RU,1551312077,100,59.36,143.24,1.27,4.85
Ilulissat,0,GL,1551307800,46,69.22,-51.1,28.4,17.22
Tall Kayf,88,TR,1551312077,96,37.08,41.07,44.07,15.03
Nemuro,0,JP,1551310200,73,43.32,145.57,24.8,3.36
Tarm,0,DK,1551312040,100,55.91,8.53,42.01,10.29
Pangody,64,RU,1551312078,83,65.85,74.49,-5.89,18.72
Nikolskoye,90,RU,1551312056,74,59.7,30.79,36.0,8.95
Praia da Vitoria,40,PT,1551312033,82,38.73,-27.07,62.6,20.51
Aklavik,5,CA,1551308400,78,68.22,-135.01,17.6,5.82
Cherskiy,80,RU,1551312079,74,68.75,161.3,-0.35,6.98
Victoria,75,BN,1551310200,100,5.28,115.24,75.2,2.24
Castro,8,CL,1551308400,67,-42.48,-73.76,60.8,5.82
Dikson,48,RU,1551312080,95,73.51,80.55,-0.4,34.83
Lima,20,PE,1551311529,69,-12.06,-77.04,78.8,10.29
Moree,80,AU,1551312071,41,-29.46,149.84,79.0,10.29
Balkanabat,88,TM,1551312081,90,39.51,54.36,37.23,1.5
Ponta do Sol,44,BR,1551312081,93,-20.63,-46.0,69.04,1.5
Teguise,20,ES,1551310200,77,29.06,-13.56,62.6,13.87
Baft,12,IR,1551312081,75,29.23,56.61,31.2,10.67
Melipilla,75,CL,1551308400,87,-33.69,-71.21,82.4,5.82
Yerbogachen,48,RU,1551312082,81,61.28,108.01,9.19,5.75
Baoding,0,CN,1551312082,78,38.86,115.49,27.51,1.95
Casablanca,40,MA,1551311572,100,33.6,-7.62,59.0,4.7
Nouadhibou,0,MR,1551308400,37,20.93,-17.03,69.8,14.99
Brae,56,GB,1551311400,87,60.4,-1.35,42.8,12.75
Great Yarmouth,0,GB,1551311814,93,52.61,1.73,45.0,6.93
Vila,0,IT,1551312072,64,45.18,8.4,54.0,8.05
Galesong,20,ID,1551310200,100,-5.32,119.37,77.0,5.82
Rio Grande,20,BR,1551312108,86,-32.03,-52.1,68.32,6.53
Saint-Augustin,0,FR,1551312047,87,44.83,-0.61,53.6,10.29
Bautzen,0,DE,1551312124,60,51.18,14.43,46.99,9.17
Morant Bay,20,JM,1551308400,54,17.88,-76.41,82.4,21.92
Esil,76,KZ,1551312150,69,51.96,66.41,8.79,1.39
Tornio,75,FI,1551312084,64,61.12,27.27,39.2,9.17
Harper,1,US,1551312124,34,30.3,-99.24,80.01,5.82
Abeche,44,TD,1551312150,32,13.83,20.83,79.71,10.67
Riyadh,75,SA,1551308400,53,24.63,46.72,71.6,3.36
Guadalupe y Calvo,68,MX,1551312151,19,26.09,-106.96,66.39,2.51
Bued,0,PH,1551312151,72,16.02,120.39,68.01,4.18
Zyryanka,68,RU,1551312151,63,65.73,150.89,-8.45,3.4
Rantepao,68,ID,1551312152,82,-2.97,119.9,71.02,2.62
Morondava,80,MG,1551312152,95,-20.3,44.28,80.34,4.18
Kununurra,0,AU,1551310200,70,-15.77,128.74,84.2,1.12
Dunedin,48,NZ,1551311919,53,-45.87,170.5,57.0,11.01
Staryy Nadym,32,RU,1551312152,70,65.61,72.68,-6.11,14.81
Kerteminde,0,DK,1551312130,90,55.45,10.66,39.99,5.01
Cidreira,68,BR,1551312153,91,-30.17,-50.22,67.74,8.1
Saskylakh,64,RU,1551312153,55,71.97,114.09,-19.7,3.18
New Norfolk,0,AU,1551312074,59,-42.78,147.06,68.0,6.93
Narsaq,20,GL,1551307800,48,60.91,-46.05,39.2,51.67
Vila Velha,40,BR,1551311901,74,-3.71,-38.6,81.0,2.24
Mount Isa,0,AU,1551310200,45,-20.73,139.49,84.2,11.41
Sao Gabriel da Cachoeira,0,BR,1551312022,87,-0.13,-67.09,78.63,2.06
Adamas,56,GR,1551309600,45,36.73,24.43,48.2,20.8
Kutum,0,SD,1551312155,28,14.2,24.66,66.75,11.23
Havelock,90,US,1551312013,77,34.88,-76.9,64.4,6.76
Cooma,32,AU,1551308400,64,-36.24,149.13,68.0,10.29
Podgornoye,92,RU,1551312155,80,57.79,82.64,17.88,7.31
Richards Bay,92,ZA,1551312155,100,-28.77,32.06,70.35,2.95
Qandala,0,SO,1551312156,80,11.47,49.87,61.26,1.95
Pangnirtung,5,CA,1551308400,39,66.15,-65.72,8.6,11.41
Kodiak,1,US,1551312125,36,39.95,-94.76,19.99,10.29
Paredon,92,BO,1551312156,97,-18.93,-65.16,49.42,1.95
Tromso,75,NO,1551309600,63,69.65,18.96,28.4,38.03
Cockburn Town,0,TC,1551312130,99,21.46,-71.14,77.37,21.74
Mingshui,92,CN,1551312157,99,22.81,109.89,62.07,4.18
Bluff,48,AU,1551312157,44,-23.58,149.07,80.07,13.13
Banjar,12,ID,1551312157,91,-7.37,108.54,72.87,3.06
Severo-Kurilsk,68,RU,1551312157,100,50.68,156.12,26.16,21.97
Drayton Valley,0,CA,1551312033,77,53.22,-114.98,21.79,11.68
Muswellbrook,48,AU,1551312007,54,-32.27,150.89,80.01,1.01
Berlevag,68,NO,1551312158,100,70.86,29.09,22.65,14.7
Lata,20,IN,1551312158,100,30.78,78.62,23.32,2.28
Ust-Nera,44,RU,1551312159,41,64.57,143.24,-29.51,1.5
Hobyo,0,SO,1551312159,93,5.35,48.53,73.45,9.22
Sisimiut,0,GL,1551312159,53,66.94,-53.67,-5.26,5.41
Port Macquarie,75,AU,1551312003,68,-31.43,152.91,77.0,5.82
Lasa,75,CY,1551310200,71,34.92,32.53,57.2,3.36
Bubaque,12,GW,1551312102,88,11.28,-15.83,80.34,18.61
Nome,90,US,1551312219,88,30.04,-94.42,69.8,8.05
Alofi,80,NU,1551311960,94,-19.06,-169.92,83.4,20.4
Oktyabrskiy,0,RU,1551310851,68,55.61,37.97,30.99,6.71
La Rioja,8,AR,1551312016,73,-29.41,-66.86,70.8,0.49
Namibe,24,AO,1551312229,100,-15.19,12.15,77.55,2.17
Zafra,0,ES,1551312114,65,38.43,-6.42,50.0,1.99
Trinidad,0,UY,1551311931,46,-33.52,-56.9,62.29,9.78
Gympie,68,AU,1551312007,68,-26.2,152.66,73.99,4.0
Nantucket,90,US,1551312193,57,41.28,-70.1,25.0,2.62
Maykor,88,RU,1551312230,89,59.01,55.89,19.9,10.78
Kang,0,BW,1551312231,44,-23.67,22.79,69.0,3.62
Kermanshah,75,IR,1551310200,56,34.32,47.07,44.6,2.62
Meulaboh,32,ID,1551312231,100,4.14,96.13,79.12,3.74
Kupino,56,RU,1551312231,85,54.36,77.31,13.65,6.87
Pak Phanang,20,TH,1551308400,100,8.35,100.2,69.8,7.65
Klaksvik,0,FO,1551311400,86,62.23,-6.59,33.8,1.12
Veraval,0,FR,1551311993,93,49.65,0.71,51.8,6.93
Hit,0,IQ,1551312235,76,33.64,42.83,48.79,5.41
Tessalit,20,ML,1551312236,22,20.2,1.01,53.74,13.47
Novo Aripuana,76,BR,1551312236,84,-5.12,-60.38,78.81,2.62
Moerai,64,PF,1551312236,98,-22.43,-151.33,81.33,8.66
Lahaina,20,US,1551312128,64,20.87,-156.68,80.6,17.22
Tiksi,0,RU,1551312236,30,71.64,128.87,-21.23,6.98
Kruisfontein,0,ZA,1551312237,77,-34.0,24.73,62.7,15.14
Bela pod Bezdezem,0,CZ,1551312233,65,50.5,14.8,46.99,12.75
Oblivskaya,80,RU,1551312237,92,48.54,42.5,26.29,4.41
Antofagasta,20,CL,1551308400,73,-23.65,-70.4,71.6,9.17
Namatanai,88,PG,1551312238,100,-3.66,152.44,80.97,3.96
Palana,68,RU,1551312238,68,59.08,159.95,6.63,3.4
Diffa,88,NE,1551312238,35,13.32,12.61,78.27,10.0
Pocone,64,BR,1551312186,89,-16.26,-56.62,76.42,3.85
Aykhal,8,RU,1551312239,46,65.95,111.51,-3.05,4.97
Segovia,0,ES,1551312142,56,40.95,-4.12,55.0,4.7
Xuddur,0,SO,1551312239,46,4.12,43.89,69.94,10.0
Afua,80,NG,1551312239,97,5.27,7.87,72.42,4.29
Lavrentiya,92,RU,1551312239,96,65.58,-170.99,31.47,39.86
Oranjemund,0,ZA,1551312240,94,-28.55,16.43,63.51,23.87
Scottsbluff,90,US,1551312131,49,41.87,-103.67,24.8,11.41
Sovetskiy,88,RU,1551312240,92,56.76,48.47,21.12,8.43
Caravelas,80,BR,1551312240,100,-17.73,-39.27,83.58,17.05
Iqaluit,40,CA,1551312169,70,63.75,-68.52,-4.01,27.51
Zhaotong,68,CN,1551312306,99,27.34,103.71,31.92,2.17
Lahij,20,YE,1551312306,99,13.06,44.88,59.5,1.39
Auki,56,NG,1551312306,48,12.18,6.51,76.11,2.95
Prestea,48,GH,1551312306,92,5.43,-2.14,75.75,4.41
Zmeinogorsk,88,RU,1551312307,90,51.15,82.2,28.45,7.2
Fuyang,8,CN,1551312307,84,32.89,115.81,35.25,2.95
Havre-Saint-Pierre,90,CA,1551308400,51,50.23,-63.6,14.0,17.22
Vangaindrano,100,MG,1551312307,98,-23.35,47.6,75.34,2.62
Los Teques,75,VE,1551312019,73,10.35,-67.04,77.0,3.36
Varzea da Palma,92,BR,1551312308,90,-17.6,-44.73,70.8,7.43
Funadhoo,20,MV,1551312308,100,6.15,73.27,80.79,4.52
Palmares do Sul,68,BR,1551312046,79,-30.26,-50.51,69.01,3.0
Hokitika,0,NZ,1551312309,84,-42.72,170.96,60.54,3.62
Plovdiv,90,BG,1551310200,60,42.14,24.75,41.0,9.17
Tommot,64,RU,1551312309,68,58.97,126.27,12.34,7.31
Mahon,75,IE,1551312167,100,51.89,-8.4,48.0,8.05
Ponta Delgada,75,PT,1551312014,100,37.73,-25.67,60.8,10.29
La Ronge,90,CA,1551308400,61,55.1,-105.3,15.8,16.11
Mount Pleasant,90,US,1551312213,93,33.16,-94.97,64.99,3.36
Baglan,12,GB,1551312303,87,51.62,-3.81,48.0,3.36
Chandbali,80,IN,1551312311,100,20.77,86.74,68.59,8.77
Port-Gentil,20,GA,1551308400,94,-0.72,8.78,78.8,3.36
Dubbo,88,AU,1551310200,44,-32.25,148.6,75.2,16.11
Kampene,92,CD,1551312311,98,-3.59,26.67,69.36,2.84
Sassandra,24,CI,1551312312,98,4.95,-6.09,81.42,8.43
Arlit,0,NE,1551312312,57,18.74,7.39,60.63,6.08
Shenzhen,20,CN,1551312012,83,22.54,114.05,71.6,9.17
Chapais,1,CA,1551308400,77,49.78,-74.86,-2.21,2.24
Almeirim,20,PT,1551312306,76,39.21,-8.63,54.0,12.75
Lianzhou,92,CN,1551312313,97,24.79,112.38,45.78,2.95
Rajapalaiyam,48,IN,1551312313,100,9.45,77.55,68.19,2.39
Durant,90,US,1551312127,95,33.99,-96.37,37.99,12.75
Kashan,90,IR,1551308400,57,33.99,51.44,51.8,4.7
Bam,32,IR,1551312314,27,29.11,58.36,58.11,11.56
Taltal,0,CL,1551312314,74,-25.41,-70.49,64.14,2.95
Vallenar,0,CL,1551312314,76,-28.58,-70.76,64.9,1.72
The Pas,75,CA,1551311040,85,53.82,-101.24,19.4,16.11
Souillac,0,FR,1551312189,93,45.6,-0.6,53.01,3.36
Lorengau,88,PG,1551312316,100,-2.02,147.27,80.25,5.08
Jaguariaiva,92,BR,1551312035,99,-24.25,-49.71,66.99,3.0
Marsa Matruh,48,EG,1551312319,71,31.35,27.25,51.99,17.27
Tuktoyaktuk,20,CA,1551308400,77,69.44,-133.03,-0.41,17.22
Chumikan,0,RU,1551312320,59,54.72,135.31,15.04,9.1
Guardiagrele,0,IT,1551312300,60,42.2,14.22,43.0,8.05
Lubsko,0,PL,1551312367,69,51.79,14.97,45.0,9.17
Voh,0,NC,1551312386,89,-20.95,164.69,79.44,25.88
Kuandian,0,CN,1551312386,62,40.73,124.78,23.28,2.39
Muros,40,ES,1551312373,93,42.77,-9.06,52.0,5.82
Ribeira Grande,75,PT,1551310200,93,38.52,-28.7,60.8,8.05
Bonfim,0,GY,1551312387,43,3.36,-59.84,87.09,18.28
Tura,92,IN,1551312387,94,25.52,90.21,58.47,3.96
Cairns,75,AU,1551312208,83,-16.92,145.77,77.0,11.41
Huangzhou,48,CN,1551312388,100,30.44,114.88,40.87,3.4
Morwell,0,AU,1551312033,39,-38.24,146.4,86.0,11.99
Quelimane,0,MZ,1551312388,93,-17.88,36.89,74.67,4.63
Isangel,88,VU,1551312388,100,-19.55,169.27,79.89,19.62
Belmonte,12,PT,1551312081,90,40.36,-7.35,46.99,2.62
Kalabo,32,ZM,1551312389,57,-15.0,22.67,72.96,4.52
Markova,0,RU,1551311930,72,52.21,104.21,12.99,4.47
Hervey Bay,90,AU,1551312308,47,-25.3,152.85,86.0,17.22
Male,64,UA,1551312390,86,50.74,33.7,23.14,9.33
Talnakh,20,RU,1551312390,35,69.49,88.39,-24.7,5.64
Cascais,20,PT,1551312298,76,38.7,-9.42,55.99,12.75
Cabinda,92,AO,1551312390,100,-5.56,12.19,78.67,2.17
Cabo San Lucas,75,MX,1551312128,56,22.89,-109.91,75.99,8.05
Takoradi,88,GH,1551312391,97,4.89,-1.75,82.77,8.21
Nioro,0,GM,1551312391,28,13.79,-15.05,67.92,11.68
Kimbe,88,PG,1551312392,100,-5.56,150.15,78.81,1.83
Griffith,36,AU,1551312018,34,-34.29,146.06,86.0,12.75
Lethem,0,GY,1551312194,43,3.38,-59.8,87.09,18.28
Hofn,88,IS,1551312396,100,64.25,-15.21,36.82,7.54
Alice Springs,0,AU,1551310200,23,-23.7,133.88,87.8,8.05
Quatre Cocos,75,MU,1551312241,83,-20.21,57.76,80.6,4.7
Norwich,0,GB,1551312126,93,52.63,1.29,46.0,3.36
Ban Tak,0,TH,1551308400,77,17.04,99.08,69.8,2.17
Dakar,0,SN,1551310200,37,14.69,-17.45,71.6,12.75
Jieshi,88,CN,1551312400,98,22.82,115.83,66.97,6.2
Norman Wells,40,CA,1551308400,67,65.28,-126.83,23.0,5.82
Kavaratti,8,IN,1551312401,100,10.57,72.64,82.5,13.35
Constitucion,90,MX,1551312016,7,23.99,-104.67,82.4,3.18
Vila Franca do Campo,75,PT,1551312374,100,37.72,-25.43,60.8,10.29
San Cristobal,75,EC,1551312103,77,-0.39,-78.55,62.6,9.17
Bom Jardim,40,BR,1551308400,83,-7.8,-35.59,77.0,10.29
Hamilton,75,BM,1551308100,55,32.3,-64.78,60.8,5.82
Bonthe,56,SL,1551312402,78,7.53,-12.5,80.61,4.97
Douala,40,CM,1551308400,100,4.04,9.71,77.0,2.73
Marsh Harbour,92,BS,1551312194,99,26.54,-77.06,75.97,15.82
Tautira,40,PF,1551312190,62,-17.73,-149.15,89.6,4.7
Ketchikan,1,US,1551311760,27,55.34,-131.65,53.6,6.93
Guerrero Negro,0,MX,1551312403,60,27.97,-114.04,63.64,13.8
Harnai,76,PK,1551312404,59,30.1,67.94,35.65,4.52
Wodonga,12,AU,1551312098,44,-36.12,146.89,84.0,11.41
Torrington,90,US,1551312131,49,42.06,-104.18,26.6,11.41
Nago,0,IT,1551312467,70,45.88,10.89,48.99,4.7
Gat,0,SN,1551310200,37,14.69,-16.54,71.6,12.75
Znamenskoye,76,RU,1551312470,81,57.13,73.82,9.55,6.76
Astaneh-ye Ashrafiyeh,90,IR,1551312000,100,37.26,49.94,44.6,6.93
Wajir,0,KE,1551312470,56,1.75,40.07,76.83,8.66
Bilibino,64,RU,1551312470,68,68.06,166.44,-6.38,2.73
Carnarvon,0,ZA,1551312471,42,-30.97,22.13,54.1,5.19
Ponnani,20,IN,1551310200,78,10.77,75.93,77.0,2.24
Kahului,40,US,1551312363,44,20.89,-156.47,78.8,17.22
Nchelenge,64,ZM,1551312471,94,-9.35,28.74,68.95,2.51
Padang,40,ID,1551308400,94,-0.92,100.36,77.0,1.12
Sambava,80,MG,1551312471,100,-14.27,50.17,76.87,13.02
Santiago,0,CL,1551312427,31,-33.44,-70.65,82.4,11.41
Gbarnga,48,LR,1551312474,50,7.0,-9.47,80.07,10.22
Eureka,75,US,1551312251,100,40.8,-124.16,45.0,6.93
Aksarka,68,RU,1551312475,81,66.56,67.8,5.46,16.93
Henties Bay,0,NA,1551312129,81,-22.12,14.28,64.0,4.97
Chiredzi,0,ZW,1551312475,86,-21.05,31.67,71.34,2.62
Mandalgovi,0,MN,1551312475,64,45.76,106.27,2.76,3.06
Sao Filipe,0,CV,1551312476,86,14.9,-24.5,72.78,16.49
Nelson Bay,75,AU,1551312121,53,-32.72,152.14,82.99,6.93
Vilhena,75,BR,1551308400,100,-12.74,-60.15,69.8,4.7
College,1,US,1551312309,72,64.86,-147.8,28.99,3.29
Turukhansk,12,RU,1551312477,74,65.8,87.96,-11.83,3.29
Ixtapa,5,MX,1551312329,83,20.71,-105.21,77.0,9.17
Hambantota,36,LK,1551312480,100,6.12,81.12,76.42,5.19
Thinadhoo,64,MV,1551312313,100,0.53,72.93,82.0,6.53
Petropavlovsk-Kamchatskiy,40,RU,1551310200,71,53.05,158.65,6.8,4.47
Faanui,76,PF,1551312482,98,-16.48,-151.75,83.94,11.12
Safford,1,US,1551312322,17,32.83,-109.71,71.6,6.93
Algiers,75,US,1551312302,73,29.94,-90.04,73.0,4.7
Kirensk,76,RU,1551312482,83,57.78,108.12,22.2,4.97
Beringovskiy,48,RU,1551312482,96,63.05,179.32,28.27,9.55
Gondar,20,PT,1551312406,87,41.82,-8.78,52.0,5.82
Ismailia,0,EG,1551312391,81,30.6,32.27,54.33,14.14
Monte Patria,0,CL,1551312483,90,-30.69,-70.96,58.24,0.94
